Unnamed: 0,movieId,title,genres,avg rating ,no of viewer rating ,viewers tags,imdbId,tmdbId,Genres_List,tmdb_title,tmdb_original_title,tmdb_overview,tmdb_tagline,tmdb_status,tmdb_release_date,tmdb_runtime,tmdb_budget,tmdb_revenue,tmdb_popularity,tmdb_genres,tmdb_original_language,tmdb_spoken_languages,imdb_id,imdb_title,imdb_genres,imdb_rating,imdb_cast,imdb_overview,imdb_runtime,imdb_release_year,imdb_poster_url,imdb_keywords
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.9,215.0,pixar|pixar|fun,114709,862.0,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",Toy Story,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",,,1995-11-22,,,,,[],en,[],tt0114709,Toy Story,"['Animation', 'Adventure', 'Comedy']",8.3,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Annie Potts']","A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.",,1995,https://m.media-amazon.com/images/M/MV5BZTA3OWVjOWItNjE1NS00NzZiLWE1MjgtZDZhMWI1ZTlkNzYwXkEyXkFqcGc@._V1_.jpg,"['toy', 'computer animation', 'cowboy', 'toy comes to life', 'action figure']"
1,2,Jumanji (1995),Adventure|Children|Fantasy,3.4,110.0,fantasy|magic board game|Robin Williams|game,113497,8844.0,"['Adventure', 'Children', 'Fantasy']",Jumanji,,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",,,,,,,,[],en,[],tt0113497,Jumanji,"['Adventure', 'Comedy', 'Family']",7.1,"['Robin Williams', 'Kirsten Dunst', 'Bonnie Hunt']",A magic board game summons jungle perils and a missing boy.,104,1995,https://m.media-amazon.com/images/M/MV5BYTFkMjFmODgtYzRiZi00NmQwLTliZWMtMzRhMWQ5ZmY3ZDExXkEyXkFqcGc@._V1_.jpg,"['board game', 'cult film', 'trapped in a game', 'adventurer', 'fight']"
2,3,Grumpier Old Men (1995),Comedy|Romance,3.3,52.0,moldy|old,113228,15602.0,"['Comedy', 'Romance']",Grumpier Old Men,,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",,,1995-12-22,,,,,[],en,[],tt0113228,Grumpier Old Men,"['Comedy', 'Romance']",6.7,"['Walter Matthau', 'Jack Lemmon', 'Ann-Margret']","Just as John Gustafson and Max Goldman resolve to save their beloved bait shop from turning into an Italian restaurant, the establishment's new female owner catches Max's attention and arouses his libido.",101,1995,https://m.media-amazon.com/images/M/MV5BMjc0OWM2YTktZWYyMi00YzU1LTljYmEtYmMyNTRlMWFlMzI4XkEyXkFqcGc@._V1_.jpg,"['sequel', 'rivalry', 'old man', 'second part', 'neighbor neighbor relationship']"
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,2.4,7.0,,114885,31357.0,"['Comedy', 'Drama', 'Romance']",Waiting to Exhale,,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",,,1995-12-22,,,,,[],en,[],tt0114885,Waiting to Exhale,"['Comedy', 'Drama', 'Romance']",7,"['Whitney Houston', 'Angela Bassett', 'Loretta Devine', 'Lela Rochon', 'Gregory Hines']",Follows four very different African-American women and their relationships with men.,124,1995,https://m.media-amazon.com/images/M/MV5BZWU4NzA3MDQtODYyOS00OTliLTk3MGEtYzM2ZjNkZmI5ODk5XkEyXkFqcGc@._V1_.jpg,"['black american', 'friendship between women', 'husband wife relationship', 'betrayal', 'mother son relationship']"
4,5,Father of the Bride Part II (1995),Comedy,3.1,49.0,pregnancy|remake,113041,11862.0,['Comedy'],Father of the Bride Part II,,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",,,,,,,,[],en,[],tt0113041,Father of the Bride Part II,"['Comedy', 'Family', 'Romance']",6.1,"['Steve Martin', 'Diane Keaton', 'Martin Short']","George Banks must deal not only with his daughter's pregnancy, but also with his wife's.",106,1995,https://m.media-amazon.com/images/M/MV5BOTMwNzE2Y2YtNzZhMy00YTljLWI1MzQtMTI3YjkxYTg2NjRmXkEyXkFqcGc@._V1_.jpg,"['fatherhood', 'doberman', 'dog', 'mansion', 'basketball']"
5,6,Heat (1995),Action|Crime|Thriller,3.9,102.0,,113277,949.0,"['Action', 'Crime', 'Thriller']",Heat,Heat,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,,,1995-12-15,170,,,,[],en,[],tt0113277,Heat,"['Action', 'Crime', 'Drama']",8.3,"['Al Pacino', 'Robert De Niro', 'Val Kilmer']",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,170,1995,https://m.media-amazon.com/images/M/MV5BMTkxYjU1OTMtYWViZC00ZjAzLWI3MDktZGQ2N2VmMjVjNDRlXkEyXkFqcGc@._V1_.jpg,"['gun battle', 'armored car robbery', 'gunfight', 'honor', 'criminal investigation']"
6,7,Sabrina (1995),Comedy|Romance,3.2,54.0,remake,114319,11860.0,"['Comedy', 'Romance']",Sabrina,,"After her return from school in Paris, a playboy finally takes notice of his family's chauffeur's daughter Sabrina, who's long had a crush on him, but he questions his more serious brother's motives when he warns against getting involved with her.",,,,,,,,[],,[],tt0114319,Sabrina,"['Comedy', 'Drama', 'Romance']",6.3,"['Harrison Ford', 'Julia Ormond', 'Greg Kinnear']","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",127,1995,https://m.media-amazon.com/images/M/MV5BNGZiMmM3YjEtZmQ3Zi00OTQxLTk5MGQtOTBhMDM1MWVkNzFmXkEyXkFqcGc@._V1_.jpg,"['character name as title', 'car', 'british car', 'bentley the car', 'mistaken identity']"
7,8,Tom and Huck (1995),Adventure|Children,2.9,8.0,,112302,45325.0,"['Adventure', 'Children']",Tom and Huck,,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",,,,,,,,[],,[],tt0112302,Tom and Huck,"['Adventure', 'Drama', 'Family']",5.5,"['Jonathan Taylor Thomas', 'Brad Renfro', 'Charles Rocket', 'Eric Schweig']",Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,97,1995,https://m.media-amazon.com/images/M/MV5BOGRlOTlkMDYtYjM4Ny00MGJhLWEyZGItMGYxYzUzNWQ1YWQ4XkEyXkFqcGc@._V1_.jpg,"['character names as title', 'huckleberry finn character', 'becky thatcher character', 'bare chested teenage boy', 'barefoot boy']"
8,9,Sudden Death (1995),Action,3.1,16.0,,114576,9091.0,['Action'],Sudden Death,,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,,,,,,,,[],en,[],tt0114576,Sudden Death,"['Action', 'Crime', 'Thriller']",5.9,"['Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry', None, None]","Darren McCord, a fire marshal for the Pittsburgh Civic Arena, finds himself in a race against time to save his daughter, the Vice President and a crowded stadium, when terrorists take over an NHL Stanley Cup game.",111,1995,https://m.media-amazon.com/images/M/MV5BZmUwYmQ1MGYtNDk4MC00YjkyLTg2YTktZmE3NmZkZDY2MGE1XkEyXkFqcGc@._V1_.jpg,"['hockey', 'ice hockey', 'chicago blackhawks', 'die hard scenario', 'death in title']"
9,10,GoldenEye (1995),Action|Adventure|Thriller,3.5,132.0,,113189,710.0,"['Action', 'Adventure', 'Thriller']",GoldenEye,,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",,,,,,,,[],,[],tt0113189,GoldenEye,"['Action', 'Adventure', 'Thriller']",7.2,"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco']","When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.",130,1995,https://m.media-amazon.com/images/M/MV5BOGQxNmYyY2YtZGIyNy00ODgxLThhZWEtZGIyNjJhYzFlOTllXkEyXkFqcGc@._V1_.jpg,"['official james bond series', 'official bond film', 'british secret service', 'evil woman', 'cossack']"
