,Unnamed: 0,movieId,title,movielens_genres,avg_rating,number_of_viewers,imdbId,tmdbId,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,video,vote_average,vote_count,success,status_code,status_message,cluster
0,0,1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,3.920930233,215.0,114709,862.0,False,/bSoOThXLrbgtphS2eZjwy2xYwVt.jpg,"{'id': 10194, 'name': 'Toy Story Collection', 'poster_path': '/7G9915LfUQ2lVfwMEEhDsn3kT4B.jpg', 'backdrop_path': '/hApclyB9NEZEQujAVajzi5iWE4a.jpg'}",30000000.0,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",http://toystory.disney.com/toy-story,862.0,tt0114709,['US'],en,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",14.8637,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,"[{'id': 3, 'logo_path': '/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png', 'name': 'Pixar', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-22,401157969.0,81.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The adventure takes off when toys come to life!,False,7.97,19556.0,,,,1
1,1,2,Jumanji,Adventure|Children|Fantasy,3.431818182,110.0,113497,8844.0,False,/qSxeCfWUUyht9hZgaaYmtPtTkw2.jpg,"{'id': 495527, 'name': 'Jumanji Collection', 'poster_path': '/oGQYrsC3t30ovgkBNlncbdBmkaP.jpg', 'backdrop_path': '/2XDgq7CVVc6IVRPbphu58ts4gIV.jpg'}",65000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",http://www.sonypictures.com/movies/jumanji/,8844.0,tt0113497,['US'],en,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",3.784,/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,"[{'id': 559, 'logo_path': '/eC0bWHVjnjUducyA6YFoEFqnPMC.png', 'name': 'TriStar Pictures', 'origin_country': 'US'}, {'id': 10201, 'logo_path': '/cgmwywVZ9NvAidd6Pn7p0CBYQkW.png', 'name': 'Interscope Communications', 'origin_country': 'US'}, {'id': 2550, 'logo_path': None, 'name': 'Teitler Film', 'origin_country': 'US'}, {'id': 1382, 'logo_path': '/8b5XGJ8YhZoEo9LgFP8KRQWHjYL.png', 'name': 'PolyGram Filmed Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-15,262821940.0,104.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,It's a jungle in here.,False,7.244,11112.0,,,,-1
2,2,3,Grumpier Old Men,Comedy|Romance,3.259615385,52.0,113228,15602.0,False,/1o4vuCHpmd4DXofMYDUwpnhKiuy.jpg,"{'id': 119050, 'name': 'Grumpy Old Men Collection', 'poster_path': '/u0aKUnypjY1OS6X2G9Uan6kQBQH.jpg', 'backdrop_path': '/8Q4LEWRiu44pTnEHacK6R9VCd4O.jpg'}",25000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",,15602.0,tt0113228,['US'],en,Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",1.102,/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,"[{'id': 19464, 'logo_path': None, 'name': 'Lancaster Gate', 'origin_country': ''}, {'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,71500000.0,101.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Still Yelling. Still Fighting. Still Ready for Love.,False,6.482,415.0,,,,3
4,4,5,Father of the Bride Part II,Comedy,3.071428571,49.0,113041,11862.0,False,/lEsjVrGU21BeJjF5AF9EWsihDpw.jpg,"{'id': 96871, 'name': 'Father of the Bride (Steve Martin) Collection', 'poster_path': '/nts4iOmNnq7GNicycMJ9pSAn204.jpg', 'backdrop_path': '/7qwE57OVZmMJChBpLEbJEmzUydk.jpg'}",0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,11862.0,tt0113041,['US'],en,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",1.6193,/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,"[{'id': 9195, 'logo_path': '/geK5QOBsXIPGHutKwXtYjMUyYSG.png', 'name': 'Touchstone Pictures', 'origin_country': 'US'}, {'id': 5842, 'logo_path': None, 'name': 'Sandollar Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-08,76594107.0,106.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Just when his world is back to normal... he's in for the surprise of his life!,False,6.273,790.0,,,,4
5,5,6,Heat,Action|Crime|Thriller,3.946078431,102.0,113277,949.0,False,/5JaR6UEoCJJLtLpqFOVMY4O4R7P.jpg,"{'id': 1048282, 'name': 'Heat Collection', 'poster_path': '/e7H6NLnhioMqOizYAqHmZyYxNID.jpg', 'backdrop_path': '/2rX05YZJJVoO1cgEnuvFsyU56YS.jpg'}",60000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",https://www.20thcenturystudios.com/movies/heat,949.0,tt0113277,['US'],en,Heat,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,16.1344,/e09dLw1Ljtccd2P4NsuUvVtS5du.jpg,"[{'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 508, 'logo_path': '/4sGWXoboEkWPphI6es6rTmqkCBh.png', 'name': 'Regency Enterprises', 'origin_country': 'US'}, {'id': 675, 'logo_path': '/fy7laY9J4tbYz7yNxGEKmoMrXRt.png', 'name': 'Forward Pass', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-15,187400000.0,170.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,A Los Angeles crime saga.,False,7.928,8088.0,,,,5
6,6,7,Sabrina,Comedy|Romance,3.185185185,54.0,114319,11860.0,False,/oMGV48EGhsNavC1PL8HMeWs5Udq.jpg,,58000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,11860.0,tt0114319,['US'],en,Sabrina,"After her return from school in Paris, a playboy finally takes notice of his family's chauffeur's daughter Sabrina, who's long had a crush on him, but he questions his more serious brother's motives when he warns against getting involved with her.",6.782,/i8PbLJDPU7vCwwscWD625oHbJy.jpg,"[{'id': 4, 'logo_path': '/jay6WcMgagAklUt7i9Euwj1pzTF.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 457, 'logo_path': None, 'name': 'Constellation Films', 'origin_country': ''}, {'id': 932, 'logo_path': '/o7leiZVIDBHxODfK8pjGPV2SdMp.png', 'name': 'Mirage Enterprises', 'origin_country': 'US'}, {'id': 258, 'logo_path': '/tMI4xPwgxfNaNId3h9dOcHGU1NI.png', 'name': 'Scott Rudin Productions', 'origin_country': 'US'}, {'id': 5842, 'logo_path': None, 'name': 'Sandollar Productions', 'origin_country': 'US'}, {'id': 12192, 'logo_path': None, 'name': 'Worldwide Productions', 'origin_country': ''}, {'id': 58079, 'logo_path': None, 'name': 'Mont Blanc Entertainment GmbH', 'origin_country': ''}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-15,53672080.0,127.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,You are cordially invited to the most surprising merger of the year.,False,6.2,669.0,,,,6
8,8,9,Sudden Death,Action,3.125,16.0,114576,9091.0,False,/wPSHboBNEInknw4VnCWOD2D8qc2.jpg,,35000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",,9091.0,tt0114576,['US'],en,Sudden Death,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,2.4082,/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,"[{'id': 99689, 'logo_path': None, 'name': 'Shattered Productions', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 21437, 'logo_path': '/4JzGnT8XGMrdGHHOfVaMNNKLZAp.png', 'name': 'Imperial Entertainment', 'origin_country': 'US'}, {'id': 23770, 'logo_path': '/t1Dc5SaJLBfRxtl0ttLGdaYICQ2.png', 'name': 'Signature Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-10-27,64350171.0,110.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Terror goes into overtime.,False,6.015,785.0,,,,-1
9,9,10,GoldenEye,Action|Adventure|Thriller,3.496212121,132.0,113189,710.0,False,/fIWsCpYR9iGDMSbMTSAzy8L7Kg5.jpg,"{'id': 645, 'name': 'James Bond Collection', 'poster_path': '/ofwSiqOFShhunAIYYdSMHMJQSx2.jpg', 'backdrop_path': '/dOSECZImeyZldoq0ObieBE0lwie.jpg'}",60000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",https://mgm.com/movies/goldeneye,710.0,tt0113189,['GB'],en,GoldenEye,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",7.7595,/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,"[{'id': 7576, 'logo_path': '/oYcUi1byZ312Z3xiz5ojz9RQLND.png', 'name': 'EON Productions', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1995-11-16,352194034.0,130.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,No limits. No fears. No substitutes.,False,6.9,4223.0,,,,8
10,10,11,The American President,Comedy|Drama|Romance,3.671428571,70.0,112346,9087.0,False,/62BnXyJtVEq4WKNSpnPG7QPYYDI.jpg,,62000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,9087.0,tt0112346,['US'],en,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",2.6491,/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,"[{'id': 97, 'logo_path': '/smyTD67uNsdaySnnjVDmh0kyotp.png', 'name': 'Castle Rock Entertainment', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 316, 'logo_path': '/AjLnvitW6m0n1wp3ElezITDDb4x.png', 'name': 'Wildwood Enterprises', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-17,107879496.0,113.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,Why can't the most powerful man in the world have the one thing he wants most?,False,6.534,767.0,,,,-1
12,12,13,Balto,Adventure|Animation|Children,3.125,8.0,112453,21032.0,False,/hljMglukfpnfaNmUgMuORmL4OVW.jpg,"{'id': 117693, 'name': 'Balto Collection', 'poster_path': '/QOrff6cgBDsLtbiGgqr1AiqkLn.jpg', 'backdrop_path': '/9VM5LiJV0bGb1st1KyHA3cVnO2G.jpg'}",31000000.0,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",,21032.0,tt0112453,['US'],en,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",2.9029,/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,"[{'id': 56, 'logo_path': '/cEaxANEisCqeEoRvODv2dO1I0iI.png', 'name': 'Amblin Entertainment', 'origin_country': 'US'}, {'id': 4105, 'logo_path': '/1dIBrbgSoWiEig0CymjqkSf7UGL.png', 'name': 'Amblimation', 'origin_country': 'GB'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,11348324.0,78.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,His story became a legend. His adventure is one you'll never forget.,False,7.305,2142.0,,,,-1
