,Unnamed: 0,movieId,title,genres,avg_rating,number_of_viewers,imdbId,tmdbId,adult,backdrop_path,belongs_to_collection,budget,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,video,vote_average,vote_count
0,0,1,Toy Story,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",3.92093023255814,215.0,114709,862.0,False,/bSoOThXLrbgtphS2eZjwy2xYwVt.jpg,"{'id': 10194, 'name': 'Toy Story Collection', 'poster_path': '/7G9915LfUQ2lVfwMEEhDsn3kT4B.jpg', 'backdrop_path': '/hApclyB9NEZEQujAVajzi5iWE4a.jpg'}",30000000,http://toystory.disney.com/toy-story,862,tt0114709,['US'],en,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",17.7171,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,"[{'id': 3, 'logo_path': '/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png', 'name': 'Pixar', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-22,401157969,81,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The adventure takes off when toys come to life!,False,8.0,19555
1,1,2,Jumanji,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",3.4318181818181817,110.0,113497,8844.0,False,/qSxeCfWUUyht9hZgaaYmtPtTkw2.jpg,"{'id': 495527, 'name': 'Jumanji Collection', 'poster_path': '/oGQYrsC3t30ovgkBNlncbdBmkaP.jpg', 'backdrop_path': '/2XDgq7CVVc6IVRPbphu58ts4gIV.jpg'}",65000000,http://www.sonypictures.com/movies/jumanji/,8844,tt0113497,['US'],en,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",3.784,/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,"[{'id': 559, 'logo_path': '/eC0bWHVjnjUducyA6YFoEFqnPMC.png', 'name': 'TriStar Pictures', 'origin_country': 'US'}, {'id': 10201, 'logo_path': '/cgmwywVZ9NvAidd6Pn7p0CBYQkW.png', 'name': 'Interscope Communications', 'origin_country': 'US'}, {'id': 2550, 'logo_path': None, 'name': 'Teitler Film', 'origin_country': 'US'}, {'id': 1382, 'logo_path': '/8b5XGJ8YhZoEo9LgFP8KRQWHjYL.png', 'name': 'PolyGram Filmed Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-15,262821940,104,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,It's a jungle in here.,False,7.244,11111
2,2,3,Grumpier Old Men,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",3.2596153846153846,52.0,113228,15602.0,False,/1o4vuCHpmd4DXofMYDUwpnhKiuy.jpg,"{'id': 119050, 'name': 'Grumpy Old Men Collection', 'poster_path': '/u0aKUnypjY1OS6X2G9Uan6kQBQH.jpg', 'backdrop_path': '/8Q4LEWRiu44pTnEHacK6R9VCd4O.jpg'}",25000000,,15602,tt0113228,['US'],en,Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",1.102,/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,"[{'id': 19464, 'logo_path': None, 'name': 'Lancaster Gate', 'origin_country': ''}, {'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,71500000,101,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Still Yelling. Still Fighting. Still Ready for Love.,False,6.482,415
3,3,4,Waiting to Exhale,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2.357142857142857,7.0,114885,31357.0,False,/jZjoEKXMTDoZAGdkjhAdJaKtXSN.jpg,,16000000,,31357,tt0114885,['US'],en,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",1.9621,/8MprEuTY3EwkF9nBBPCUyjRjvs5.jpg,"[{'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,81452156,127,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Friends are the people who let you be yourself... and never let you forget it.,False,6.247,192
4,4,5,Father of the Bride Part II,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",3.0714285714285716,49.0,113041,11862.0,False,/lEsjVrGU21BeJjF5AF9EWsihDpw.jpg,"{'id': 96871, 'name': 'Father of the Bride (Steve Martin) Collection', 'poster_path': '/nts4iOmNnq7GNicycMJ9pSAn204.jpg', 'backdrop_path': '/7qwE57OVZmMJChBpLEbJEmzUydk.jpg'}",0,,11862,tt0113041,['US'],en,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",1.6193,/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,"[{'id': 9195, 'logo_path': '/geK5QOBsXIPGHutKwXtYjMUyYSG.png', 'name': 'Touchstone Pictures', 'origin_country': 'US'}, {'id': 5842, 'logo_path': None, 'name': 'Sandollar Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-08,76594107,106,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Just when his world is back to normal... he's in for the surprise of his life!,False,6.273,790
5,5,6,Heat,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",3.946078431372549,102.0,113277,949.0,False,/5JaR6UEoCJJLtLpqFOVMY4O4R7P.jpg,"{'id': 1048282, 'name': 'Heat Collection', 'poster_path': '/e7H6NLnhioMqOizYAqHmZyYxNID.jpg', 'backdrop_path': '/2rX05YZJJVoO1cgEnuvFsyU56YS.jpg'}",60000000,https://www.20thcenturystudios.com/movies/heat,949,tt0113277,['US'],en,Heat,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,16.1344,/e09dLw1Ljtccd2P4NsuUvVtS5du.jpg,"[{'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 508, 'logo_path': '/4sGWXoboEkWPphI6es6rTmqkCBh.png', 'name': 'Regency Enterprises', 'origin_country': 'US'}, {'id': 675, 'logo_path': '/fy7laY9J4tbYz7yNxGEKmoMrXRt.png', 'name': 'Forward Pass', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-15,187400000,170,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,A Los Angeles crime saga.,False,7.928,8087
6,6,7,Sabrina,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",3.185185185185185,54.0,114319,11860.0,False,/oMGV48EGhsNavC1PL8HMeWs5Udq.jpg,,58000000,,11860,tt0114319,['US'],en,Sabrina,"After her return from school in Paris, a playboy finally takes notice of his family's chauffeur's daughter Sabrina, who's long had a crush on him, but he questions his more serious brother's motives when he warns against getting involved with her.",6.782,/i8PbLJDPU7vCwwscWD625oHbJy.jpg,"[{'id': 4, 'logo_path': '/jay6WcMgagAklUt7i9Euwj1pzTF.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 457, 'logo_path': None, 'name': 'Constellation Films', 'origin_country': ''}, {'id': 932, 'logo_path': '/o7leiZVIDBHxODfK8pjGPV2SdMp.png', 'name': 'Mirage Enterprises', 'origin_country': 'US'}, {'id': 258, 'logo_path': '/tMI4xPwgxfNaNId3h9dOcHGU1NI.png', 'name': 'Scott Rudin Productions', 'origin_country': 'US'}, {'id': 5842, 'logo_path': None, 'name': 'Sandollar Productions', 'origin_country': 'US'}, {'id': 12192, 'logo_path': None, 'name': 'Worldwide Productions', 'origin_country': ''}, {'id': 58079, 'logo_path': None, 'name': 'Mont Blanc Entertainment GmbH', 'origin_country': ''}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-15,53672080,127,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,You are cordially invited to the most surprising merger of the year.,False,6.2,669
7,7,8,Tom and Huck,"[{'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",2.875,8.0,112302,45325.0,False,/jP8lHNHD89xaRPfAdyz5KEVYcSb.jpg,,0,,45325,tt0112302,['US'],en,Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",1.0632,/bMY31ikEOIPOHqQwhPhII8UVBln.jpg,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 134923, 'logo_path': None, 'name': 'Painted Fence Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,23920048,97,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A lot of kids get into trouble. These two invented it.,False,5.3,205
8,8,9,Sudden Death,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",3.125,16.0,114576,9091.0,False,/wPSHboBNEInknw4VnCWOD2D8qc2.jpg,,35000000,,9091,tt0114576,['US'],en,Sudden Death,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,2.4082,/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,"[{'id': 99689, 'logo_path': None, 'name': 'Shattered Productions', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 21437, 'logo_path': '/4JzGnT8XGMrdGHHOfVaMNNKLZAp.png', 'name': 'Imperial Entertainment', 'origin_country': 'US'}, {'id': 23770, 'logo_path': '/t1Dc5SaJLBfRxtl0ttLGdaYICQ2.png', 'name': 'Signature Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-10-27,64350171,110,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Terror goes into overtime.,False,6.015,785
9,9,10,GoldenEye,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",3.496212121212121,132.0,113189,710.0,False,/fIWsCpYR9iGDMSbMTSAzy8L7Kg5.jpg,"{'id': 645, 'name': 'James Bond Collection', 'poster_path': '/ofwSiqOFShhunAIYYdSMHMJQSx2.jpg', 'backdrop_path': '/dOSECZImeyZldoq0ObieBE0lwie.jpg'}",60000000,https://mgm.com/movies/goldeneye,710,tt0113189,['GB'],en,GoldenEye,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",7.969,/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,"[{'id': 7576, 'logo_path': '/oYcUi1byZ312Z3xiz5ojz9RQLND.png', 'name': 'EON Productions', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1995-11-16,352194034,130,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,No limits. No fears. No substitutes.,False,6.899,4223
